INSTITUTIONAL PRICE ACTION — PATTERN REFERENCE COMPENDIUM (MASTER FILE v3.0),,,,,,,,,,,,
"Sources: / CMS + Cameron, Velez, Minervini, O'Neil, SMC/ICT + Volume Profile + Session-Based Volume Profile  |  For Trading Use Only — Alpha Data Architects Group Designed by Bayat",,,,,,,,,,,,
#,Pattern Name,Category,Structure / Shape,Bias,Entry Trigger,Key Level(s),Stop Logic,Target Logic,Trader Notes / Edge,Example / Visual Description,Volume Confirmation,Session VP Confirmation
11,Ruler (Pembaris),Institutional Level,Horizontal line connecting equal highs or lows (2-3-3 count),Neutral — Reactive,Trade at Ruler level on retest,Ruler level (equal highs or lows),Beyond ruler by > 1 ATR,Opposing ruler or structure,Ruler = institutional order line; 2-3-3 count confirms significance,USDJPY 1H: Three equal highs form horizontal ruler line; price retests and rejects. Short at ruler.,Each touch of ruler with diminishing volume = institutional absorption. VP: Ruler aligns with HVN = confirmed institutional order cluster; 3+ touches at HVN = do not fade.,Session VP: Ruler level aligning with London SVP POC or NY SVP VAH/VAL = ultra-precise institutional level; session-specific POC at ruler = highest conviction.
12,MPL,Multi-Point Line,Price tests the same S/R level multiple times (stop hunt sequence),Reversal After Stop Hunt,Enter after stop hunt candle / engulf at MPL,MPL = multi-tested horizontal,Beyond final stop hunt,Opposite structure,Each touch = liquidity grab; engulf confirms reversal from MPL,GBPJPY 15m: Same support touched 4 times with stop hunts; final engulfing candle reverses. Long entered.,Diminishing volume on successive MPL tests = absorption in progress; volume surge on final engulf = reversal confirmed. VP: MPL at HVN = defended by institutions; LVN break above/below = fast exit.,Session VP: Final MPL stop hunt occurring at London SVP VAL or NY SVP VAL = session low defended; reversal into session VA = high-probability long.
13,Fakeout V1 (Default),Fakeout,"Price breaks R1 then R2, both fail; reversal into S zone",Bearish,Short after R2 fakeout closes back inside range,"R1, R2 resistance; S support",Above R2,S zone,Classic stop-hunt above double resistance; default fakeout pattern,"SPX 5m: Breaks R1 then R2 (liquidity sweep), immediately closes back inside. Clean drop.",Volume expansion on R1/R2 break = stop hunt fuel; volume collapse on close back inside = fakeout confirmed. VP: R2 break into LVN above then retreat = no buyers above HVN.,Session VP: Fakeout above NY SVP VAH (indices) = distribution; short on close back below VAH. London SVP VAH fakeout = primary forex fakeout signal.
14,Fakeout V2 (SR Flip),Fakeout,Support flips to resistance after break; price retests from below,Bearish,Short at prior S now acting as R after SR Flip,SR Flip level; S1/S2,Above SR Flip,Demand below,Support-turned-resistance entry; confirmation is rejection candle at flip,"EURUSD 30m: Prior support broken, retested from below as resistance with pin bar. Short entered.",Volume expansion on support break + contraction on retest = SR flip confirmed; rejection candle with elevated volume at flip = institutional supply. VP: SR Flip at POC = former fair value now resistance.,Session VP: SR Flip aligns with London SVP POC (new resistance) = session-specific supply confirmed; NY SVP SR Flip = strong intraday signal for indices.
15,Fakeout V3 (Diamond),Fakeout,QM head at same level as R1/R2 or S1/S2 — creates diamond pattern,Bearish/Bullish,Trade at diamond apex (QM head = prior S/R),QM head level = R1/R2 or S1/S2,Beyond QM head,Opposite structure level,Diamond = dual confluence; QM + SR alignment is strong institutional signal,GBPUSD 15m: QM head exactly aligns with R2 forming perfect diamond. Reversal short at apex.,Volume divergence between QM head and R1/R2 = distribution. VP: Diamond apex at HVN = institutional ceiling; aligned supply at same level = non-negotiable resistance.,Session VP: Diamond apex coinciding with NY SVP HVN or London SVP POC = strongest fakeout confirmation; dual confluence of pattern + session VP = institutional trap.
16,Fakeout V3 Diamond SBR,Fakeout,Diamond variant using Support-Becomes-Resistance (SBR) flip,Bearish,Short at SBR after diamond forms,SBR level + R zone,Above SBR,Demand below,SBR version confirms failed breakout + QM structure convergence,AUDUSD 1H: Diamond forms at SBR flip level. Short taken; strong bearish follow-through.,Volume contraction on SBR retest + rejection = supply confirmed at former support. VP: SBR at POC/HVN = former fair value becomes resistance; strongest when POC flips with price.,Session VP: SBR at London SVP POC (forex) or NY SVP VAH (indices) = session-specific resistance validated; avoid trading SBR inside Asian SVP VA.
17,Double SSR,Supply & Demand,Two sequential supply tests; price forms double top at supply,Bearish,Short on second supply test / rejection,S (supply) zone x2 + R level,Above supply zone,Demand below,Second test of supply with equal or weaker momentum = distribution signal,SPX 30m: Two equal highs at supply zone; second high shows weaker momentum. Short entered.,Volume on second supply test must be lower than first = distribution confirmed; avoid if second test has higher volume. VP: Both tops at HVN = institutional ceiling clearly defended.,Session VP: Second supply test at NY SVP VAH (indices) = double distribution confirmed; London SVP VAH second test = primary forex double-top signal.
18,3 Drive,Harmonic / Wave,Three progressive drives in same direction; third = exhaustion,Reversal,Enter counter-trend after 3rd drive at S/D zone,"Drive 1, 2, 3 levels",Beyond 3rd drive,Opposite structure,3 Drives = Elliott impulse variant; 3rd drive often forms at key supply or demand,EURUSD 1H downtrend: Three progressive lower drives into demand; third exhausts. Bullish reversal long.,Each successive drive with lower volume = exhaustion in progress; volume surge on 3rd drive reversal candle = institutional absorption. VP: 3rd drive terminating at HVN = strong demand floor.,Session VP: 3rd drive completing at London SVP VAL (forex) or NY SVP VAL (futures) = session demand floor; highest-probability reversal when 3rd drive exhausts inside session hours.
19,Compression (CP),Price Compression,Price coils in tightening range above demand or below supply,Breakout (With Trend),Enter on compression break; confirm with engulf,Demand Clear / Supply Clear zone,Below demand (bull) / above supply (bear),Measured compression breakout,Compression = spring-loading; break is often explosive; wait for clear candle,GBPUSD 5m: Price coils tightly above demand; breaks upper limit with strong engulfing candle. Long taken.,Declining volume inside compression = coiling confirmed; volume explosion on breakout candle = spring released. VP: Breakout through LVN = fast momentum; stall at HVN = partial profit.,Session VP: Compression breaking through NY SVP LVN at open = explosive session momentum. London open compression break = strongest forex compression signal.
20,Compression Liquidity (CPLQ),Price Compression,Compression with embedded liquidity grab (LQ) before break,Breakout After LQ,Enter after liquidity sweep below compression (bull) or above (bear),LQ zone + R-R resistance,Below LQ sweep,Compression measured move,LQ = stop-hunt within compression; entry after sweep + engulf is highest-prob,"NASDAQ 15m: Tight compression with quick LQ sweep below, then explosive upside break. Long entered.",Volume spike on LQ sweep (stop hunt) + immediate contraction + expansion on breakout = triple volume confirmation. VP: LQ sweep below VAL inside compression then break above POC = strongest CPLQ signal.,Session VP: LQ sweep occurring in final Asian session minutes + London open breakout through London SVP LVN = textbook cross-session CPLQ; highest-probability entry of all compression variants.
21,Can-Can,Institutional Pattern,Extended sideways chop at S/D zone; accumulation/distribution,Trend-Directional,Enter on break from Can-Can zone,Can-Can S/D zone boundaries,Beyond zone,Measured zone height projection,Can-Can = institutional accumulation; narrow range = coiled spring before impulse,USDJPY 30m: 2-hour sideways chop at demand zone (Can-Can); clean upside break. Long taken.,Consistently low volume inside Can-Can = accumulation; volume explosion on zone break = institutional participation. VP: Can-Can zone aligning with VA = institutional fair value accumulation zone.,Session VP: Can-Can zone spanning multiple sessions; break during London/NY open = session-fueled momentum. Asian SVP Can-Can break often signals London continuation.
22,Can-Can + Fakeout,Institutional Pattern,Can-Can zone with fakeout above (Fake Supply) or below (Fake Demand),Reversal Into Trend,Enter after fakeout reversal from Fake Supply/Demand,LQ zone; Fake Supply / Fake Demand,Above/below fakeout wick,Opposite S/D target,Fakeout within Can-Can confirms stop hunt; strongest variant of the pattern,GBPJPY 15m: Can-Can zone with fakeout below (liquidity grab); immediate reversal up. Strong long.,Volume spike on fakeout wick + collapse on return into zone = stop hunt confirmed. VP: Fakeout into LVN outside VA then reversal back into VA = failed auction = strongest Can-Can variant.,"Session VP: Can-Can fakeout occurring at London open into London SVP LVN, then reversal into London SVP VA = session-specific failed auction; ultra-high probability entry."
23,Head and Shoulders,Classic Reversal,Left shoulder-head-right shoulder; neckline,Bearish,Short on neckline break or retest,Neckline,Above right shoulder or head,Measured projection (head-neckline distance),Popular swing trader reversal; confluence with supply/QM,SPX Daily: Classic H&S at major supply; neckline break with volume. Short taken; measured move hits target.,Volume on head must be higher than left shoulder; right shoulder lower volume = distribution. Neckline break with volume expansion = confirmed. VP: Head at HVN; neckline break through LVN = fast measured move.,Session VP: H&S completing during NY session with right shoulder at NY SVP VAH = session distribution; neckline break through NY SVP LVN = accelerated downside.
24,Inverse Head and Shoulders,Classic Reversal,Inverted shoulders-head; neckline,Bullish,Long on neckline break or retest,Neckline,Below right shoulder or head,Measured projection above neckline,Bullish reversal at demand zones,EURUSD Weekly: Inverse H&S at macro demand; neckline break. Long entered; strong rally.,Volume on head must exceed left shoulder; right shoulder with lower volume = accumulation. Neckline break with expansion = confirmed. VP: Inverted head at HVN (demand); neckline break through LVN = momentum.,Session VP: Inverse H&S completing at London SVP VAL (forex) = session demand floor reversal; neckline break during NY open through NY SVP LVN = cross-session momentum.
25,Cup and Handle,Classic Continuation,Rounded cup + handle consolidation,Bullish,Long on handle breakout above resistance,Handle resistance line,Below handle low,Cup depth projected from breakout,Swing trader accumulation continuation pattern (O'Neil/Minervini),"AAPL Daily: Rounded cup, tight handle; breakout above resistance. Long taken.",Volume declines through cup and handle; explosive volume on handle breakout = accumulation complete. VP: Handle base at POC or VAL; breakout through VAH into LVN = fast continuation.,Session VP: Cup & Handle on daily; handle breakout coinciding with NY open SVP VAH break = strongest swing continuation signal; institutional participation confirmed by NY session volume.
26,Rising Wedge,Reversal Pattern,Upward converging trendlines,Bearish,Short on break below lower trendline,Lower wedge trendline,Above wedge high,Wedge height projected down,Exhaustion in uptrend; day/swing favorite,TSLA 1H: Rising wedge in uptrend; breaks lower trendline with momentum. Short entered.,Volume should decrease as wedge narrows = exhaustion. Volume expansion on lower trendline break = reversal confirmed. VP: Wedge high at HVN/POC; break below through LVN = fast drop.,Session VP: Rising wedge peak at NY SVP VAH (indices) = session exhaustion; lower trendline break during NY session = intraday reversal with momentum. London SVP wedge peak = forex signal.
27,Falling Wedge,Reversal Pattern,Downward converging trendlines,Bullish,Long on break above upper trendline,Upper wedge trendline,Below wedge low,Wedge height projected up,Bullish reversal in downtrend,BTC 4H: Falling wedge in downtrend; breaks upper trendline. Long taken; sharp reversal.,Volume diminishes as wedge narrows = exhaustion. Volume expansion on upper trendline break = reversal confirmed. VP: Wedge low at HVN (demand); break above through LVN = spring release.,Session VP: Falling wedge completing at London SVP VAL (forex) = session demand floor; upper trendline break during London/NY overlap = strongest falling wedge signal.
28,Pin Bar Rejection,Candlestick Patterns,Long wick rejection at level,Reversal,Enter opposite wick on confirmation,Key S/R or structure,Beyond wick extreme,Next opposing level,Institutional rejection; aligns with DM Shadow; day-trader favorite,EURUSD 5m: Long upper wick pin bar at resistance. Short on close; immediate reversal.,Pin bar with elevated volume + long wick = institutional rejection candle. VP: Pin bar forming at HVN or POC = strong supply/demand confirmed; wick piercing LVN then closing back = failed breakout.,Session VP: Pin bar at London SVP POC (forex) or NY SVP POC (indices) = session-specific rejection; highest conviction when pin wick pierces session HVN then closes back inside VA.
29,Bullish Engulfing,Candlestick Patterns,Small bearish + larger bullish engulf,Bullish,Long above engulfing high,Pattern low,Below engulfing low,Next resistance,Strong reversal candle at support for day traders,GBPUSD 15m: Small red candle followed by large green engulfing at demand. Long entered.,Bullish engulf with volume > prior bearish candle = institutional buy confirmed. VP: Engulfing at HVN or POC = demand floor institutional confirmation.,Session VP: Bullish engulfing at NY SVP VAL (indices/futures) = NY session demand defended; London SVP VAL engulfing = forex session low confirmed; strong continuation expected.
30,Bullish Order Block,SMC Concepts,Last bearish candle before strong bullish move,Bullish,Long on retest of OB,OB zone (proximal),Below OB low,Next liquidity or FVG,Institutional demand; level-to-level entry; core SMC tool,NAS100 5m: Last bearish candle before strong impulse up; price retests OB. Long taken.,OB forms with high volume bearish candle then explosive bullish move = institutional accumulation candle. Retest with lower volume = demand holds. VP: OB aligns with HVN or VAL = demand zone validated.,Session VP: OB at NY SVP VAL (futures/indices) = NY session order block demand; retest during NY open = highest-probability OB entry. London SVP VAL OB = primary forex OB signal.
31,Fair Value Gap (FVG),SMC Concepts,3-candle price imbalance/gap,Directional,Trade in bias direction or fill,FVG boundaries,Opposite side of FVG,Next structure or opposing FVG,Imbalance fill or momentum tool for structured traders,EURJPY 15m: Clear 3-candle FVG formed; price fills gap then continues in trend. Momentum trade taken.,FVG forms on high-volume impulse candle = institutional imbalance. Fill with lower volume = unmitigated. VP: FVG coincides with LVN = price fills rapidly; FVG at HVN = partial fill expected.,Session VP: FVG formed during London open impulse = London SVP imbalance; fill during NY session. NY session FVG = highest-volume imbalance; fills before end of NY session 80%+ of the time.
32,Break of Structure (BOS),Market Structure,Break prior swing high/low in trend dir.,Trend Continuation,Trend direction entry on pullback,Broken swing point,Beyond recent extreme,Next swing or measured,Confirms trend; core structured analysis,SPX 30m: Price breaks previous swing high with strong candle. Trend continuation long on pullback.,BOS candle must show volume expansion = institutional participation in trend. Pullback to broken swing on low volume = continuation setup. VP: BOS breaks through LVN = momentum; stalls at HVN = pullback entry.,Session VP: BOS occurring at NY open through NY SVP VAH (bull) = session trend confirmation; London BOS through London SVP VAH = forex trend day signal; highest conviction in active session.
33,Change of Character (CHOCH),Market Structure,Break opposite swing (reversal signal),Potential Reversal,Counter-trend after confirmation,Broken opposite swing,Beyond break,Prior extreme or liquidity,Structure shift signal for bias change,GBPJPY 1H: Price breaks opposite swing low (CHOCH); bias flips bearish. Short entered.,CHOCH break on high volume = institutional participation in reversal. Follow-through with continued volume expansion = trend change confirmed. VP: CHOCH break through LVN = accelerated reversal; stalls at HVN = continuation needed.,Session VP: CHOCH during London open through London SVP opposite VA side = session bias flip; NY open CHOCH through NY SVP opposite boundary = highest-conviction reversal for indices/futures.
34,Liquidity Sweep,Institutional,Sweep equal H/L or stops then reverse,Reversal,Enter reversal after sweep + candle,Liquidity pool,Beyond sweep wick,Opposite structure,Stop hunt fuel; day & institutional,"AUDUSD 5m: Quick sweep of equal lows (stops), then strong reversal candle. Long entered.",Volume spike on sweep wick = stop hunt confirmed; immediate volume collapse + reversal candle = institutional absorption. VP: Sweep into LVN below VA then reversal = failed auction = strongest liquidity sweep signal.,Session VP: Liquidity sweep at London open below Asian SVP VAL = cross-session stop hunt; reversal into London SVP VA = London session long bias confirmed. NY sweep of London SVP VAL = NY open reversal.
35,Measured Move,Projection / Level Trading,"Impulse A-B, consolidation, equal C-D",Directional,Breakout of consolidation in impulse dir.,Consolidation boundaries,Beyond consolidation,Equal to first leg,Level-to-level target; structured projection; day/swing staple,"USDJPY 15m: Strong impulse leg, consolidation, then equal measured move leg completes. Target hit precisely.",Volume expansion on first impulse + contraction in consolidation + re-expansion on measured leg = projection confirmed. VP: Breakout above VAH or through HVN confirms measured target validity.,Session VP: Breakout through NY SVP VAH or London SVP HVN = strongest measured-move confirmation; target often reaches opposite session VA boundary.
